,pickups,returns,imbalance,total_activity
Dentonia Park,75.0,71.0,4.0,146.0
Guildwood GO Station (South),30.0,26.0,4.0,56.0
Wynford Heights Cres / Concorde Pl,23.0,20.0,3.0,43.0
Armel Ct / Albion Rd,19.0,16.0,3.0,35.0
Shaw St / College St,293.0,290.0,3.0,583.0
Simcoe St / Wellington St W (North) 2,17.0,14.0,3.0,31.0
Emmett Ave,8.0,5.0,3.0,13.0
Princes' Blvd / Nunavut Rd,165.0,162.0,3.0,327.0
Eglinton Ave W / Ennerdale Rd,24.0,21.0,3.0,45.0
Erskine Ave / Yonge St SMART,127.0,124.0,3.0,251.0
Strachan Ave / Ordnance St,42.0,39.0,3.0,81.0
Neil McLellan Park,251.0,248.0,3.0,499.0
St. Clair Ave W / Symes Rd,28.0,25.0,3.0,53.0
Queen St E / Rhodes Ave,168.0,165.0,3.0,333.0
Albany Ave / Dupont St,123.0,120.0,3.0,243.0
Windsor St / Newcastle St,174.0,171.0,3.0,345.0
Gunns Rd / Lavender Creek Trail,16.0,13.0,3.0,29.0
Dundas St W / Crawford St,2110.0,2107.0,3.0,4217.0
Fulton Ave / Pape Ave,161.0,158.0,3.0,319.0
519 Church St,9.0,6.0,3.0,15.0
Lonsdale Rd / Spadina Rd,162.0,159.0,3.0,321.0
Kingston Rd / Warden Ave,38.0,35.0,3.0,73.0
Lake Shore Blvd W / Legion Rd,138.0,135.0,3.0,273.0
Lansdowne Ave / Seaforth Ave,50.0,47.0,3.0,97.0
St. Clair Ave W / Caledonia Rd,35.0,32.0,3.0,67.0
